city_code,district_code,village,neighbor,street,area,lane,alley,number,address,x,y
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１之１７號,,170199.67,2601616.95
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１之１２號,,169789.98,2601078.7
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１之１１號,,169749.6,2601082.84
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１之１號,,169643.085,2601315.221
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１之２號,,169621.24,2601332.75
10009,1000920,[木|日]埔村,1,瓊埔路,,,,２號,,169708.089,2601336.682
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３號,,169677.609,2601341.176
10009,1000920,[木|日]埔村,1,瓊埔路,,,,４號,,169668.279,2601379.621
10009,1000920,[木|日]埔村,1,瓊埔路,,,,４之１號,,169614.304,2601397.612
10009,1000920,[木|日]埔村,1,瓊埔路,,,,４之１０號,,169657.96,2601349.326
10009,1000920,[木|日]埔村,1,瓊埔路,,,,５號,,169607.047,2601345.717
10009,1000920,[木|日]埔村,1,瓊埔路,,,,６之２號,,169639.93,2601346.84
10009,1000920,[木|日]埔村,1,瓊埔路,,,,６號,,169589.32,2601364.635
10009,1000920,[木|日]埔村,1,瓊埔路,,,,６之１號,,169535.071,2601388.601
10009,1000920,[木|日]埔村,3,瓊埔路,,,,７號,,169490.762,2601442.447
10009,1000920,[木|日]埔村,2,瓊埔路,,,,８號,,169448.849,2601422.363
10009,1000920,[木|日]埔村,2,瓊埔路,,,,９號,,169476.188,2601442.042
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１０號,,169457.279,2601394.93
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１１號,,169441.497,2601379.338
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１２號,,169431.264,2601367.383
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１３號,,169459.36,2601370.848
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１３之１號,,169490.23,2601371.195
10009,1000920,[木|日]埔村,3,瓊埔路,,,,１４號,,169481.757,2601338.059
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１５號,,169421.899,2601342.444
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１６號,,169401.344,2601358.383
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１６之１號,,169384.617,2601348.212
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１７號,,169397.445,2601340.976
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１７之２號,,169409.249,2601354.264
10009,1000920,[木|日]埔村,4,瓊埔路,,,,１８號,,169391.107,2601311.037
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１９號,,169419.301,2601387.702
10009,1000920,[木|日]埔村,1,瓊埔路,,,,１９之１號,,169412.067,2601375.288
10009,1000920,[木|日]埔村,1,瓊埔路,,,,２０號,,169430.669,2601397.205
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２２號,,169386.366,2601371.527
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２３號,,169396.163,2601391.802
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２４號,,169418.62,2601408.266
10009,1000920,[木|日]埔村,4,瓊埔路,,,,２５號,,169375.332,2601403.827
10009,1000920,[木|日]埔村,4,瓊埔路,,,,２６之３號,,169353.107,2601376.972
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２７號,,169404.791,2601426.045
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２８號,,169398.983,2601441.182
10009,1000920,[木|日]埔村,3,瓊埔路,,,,２９號,,169414.122,2601432.344
10009,1000920,[木|日]埔村,3,瓊埔路,,,,３０號,,169419.678,2601439.355
10009,1000920,[木|日]埔村,3,瓊埔路,,,,３１號,,169427.616,2601421.76
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３２號,,169365.316,2601412.976
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３３號,,169389.088,2601449.146
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３３之１號,,169385.266,2601449.953
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３３之２號,,169380.988,2601454.055
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３３之３號,,169376.755,2601456.039
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３３號之２,,169380.561,2601450.541
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３４號,,169361.938,2601452.864
10009,1000920,[木|日]埔村,4,瓊埔路,,,,３４之１號,,169342.596,2601433.695
